a,b,c,d,e,f,g,h,i
[0.46600035],0,0,0,1,0.46600035,0.46600035,1.46600035,0
[0.6461154],1,1,1,1,0.6461154,0.6461154,4.6461154,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.3172125],0,0,0,0,0.3172125,0.3172125,0.3172125,0
[0.5626972],0,0,0,0,0.5626972,0.5626972,0.5626972,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5465994],1,1,1,1,0.5465994,0.5465994,4.5465994,1
[0.51196736],1,1,1,1,0.51196736,0.51196736,4.51196736,1
[0.54219276],0,1,1,1,0.54219276,0.54219276,3.54219276,0
[0.44900584],0,0,0,0,0.44900584,0.44900584,0.44900584,0
[0.6123571],1,1,1,1,0.6123571,0.6123571,4.6123571,1
[0.1352548],1,0,0,1,0.1352548,0.1352548,2.1352548,0
[0.30990008],0,0,0,1,0.30990008,0.30990008,1.30990008,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.44458392],1,0,0,1,0.44458392,0.44458392,2.44458392,0
[0.56440914],0,0,0,0,0.56440914,0.56440914,0.56440914,0
[0.48167193],0,0,0,0,0.48167193,0.48167193,0.48167193,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5979072],0,1,1,1,0.5979072,0.5979072,3.5979072,0
[0.43510354],0,0,0,0,0.43510354,0.43510354,0.43510354,0
[0.6181051],1,1,1,1,0.6181051,0.6181051,4.6181051,1
[0.46423438],0,0,0,0,0.46423438,0.46423438,0.46423438,0
[0.5985705],0,1,1,1,0.5985705,0.5985705,3.5985705,0
[0.6613388],1,1,1,1,0.6613388,0.6613388,4.6613388,1
[0.54472274],0,1,1,1,0.54472274,0.54472274,3.54472274,0
[0.6559705],1,1,1,1,0.6559705,0.6559705,4.6559705,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.58846825],1,1,1,1,0.58846825,0.58846825,4.58846825,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6613814],1,1,1,1,0.6613814,0.6613814,4.6613814,1
[0.83480686],1,1,1,1,0.83480686,0.83480686,4.83480686,1
[0.4068295],0,0,0,0,0.4068295,0.4068295,0.4068295,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.72210836],1,1,1,1,0.72210836,0.72210836,4.72210836,1
[0.46722642],1,0,1,1,0.46722642,0.46722642,3.46722642,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.46726426],0,0,0,0,0.46726426,0.46726426,0.46726426,0
[0.49596602],1,1,1,1,0.49596602,0.49596602,4.49596602,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.52986646],1,1,1,1,0.52986646,0.52986646,4.52986646,1
[0.5532987],1,1,1,1,0.5532987,0.5532987,4.5532987,1
[0.69236755],1,1,1,1,0.69236755,0.69236755,4.69236755,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5010078],0,0,1,1,0.5010078,0.5010078,2.5010078,0
[0.6319387],1,1,1,1,0.6319387,0.6319387,4.6319387,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.4949957],1,1,1,1,0.4949957,0.4949957,4.4949957,1
[0.60617507],1,1,1,1,0.60617507,0.60617507,4.60617507,1
[0.6970689],1,1,1,1,0.6970689,0.6970689,4.6970689,1
[0.63088477],1,1,1,1,0.63088477,0.63088477,4.63088477,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6318784],0,1,1,1,0.6318784,0.6318784,3.6318784,0
[0.37727198],0,0,0,0,0.37727198,0.37727198,0.37727198,0
[0.44282994],0,0,0,0,0.44282994,0.44282994,0.44282994,0
[0.6598951],1,1,1,1,0.6598951,0.6598951,4.6598951,1
[0.54113865],1,1,1,1,0.54113865,0.54113865,4.54113865,1
[0.79321444],1,1,1,1,0.79321444,0.79321444,4.79321444,1
[0.39897674],1,0,0,1,0.39897674,0.39897674,2.39897674,0
[0.55090314],0,1,1,1,0.55090314,0.55090314,3.55090314,0
[0.37074366],0,0,0,0,0.37074366,0.37074366,0.37074366,0
[0.6631435],1,1,1,1,0.6631435,0.6631435,4.6631435,1
[0.43814078],0,0,0,0,0.43814078,0.43814078,0.43814078,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6050166],1,1,1,1,0.6050166,0.6050166,4.6050166,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.49424312],0,0,0,1,0.49424312,0.49424312,1.49424312,0
[0.5290134],1,0,0,1,0.5290134,0.5290134,2.5290134,0
[0.5251818],0,1,1,1,0.5251818,0.5251818,3.5251818,0
[0.7903912],1,1,1,1,0.7903912,0.7903912,4.7903912,1
[0.5950203],1,1,1,1,0.5950203,0.5950203,4.5950203,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5572786],1,1,1,1,0.5572786,0.5572786,4.5572786,1
[0.41022113],0,0,0,1,0.41022113,0.41022113,1.41022113,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6962472],0,1,1,1,0.6962472,0.6962472,3.6962472,0
[0.779847],1,1,1,1,0.779847,0.779847,4.779847,1
[0.5598168],1,1,1,1,0.5598168,0.5598168,4.5598168,1
[0.7883534],0,1,1,1,0.7883534,0.7883534,3.7883534,0
[0.5777588],1,1,1,1,0.5777588,0.5777588,4.5777588,1
[0.5593034],1,1,1,1,0.5593034,0.5593034,4.5593034,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6192956],1,1,1,1,0.6192956,0.6192956,4.6192956,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.4299317],1,0,0,0,0.4299317,0.4299317,1.4299317,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.20707488],0,0,0,0,0.20707488,0.20707488,0.20707488,0
[0.7507492],1,1,1,1,0.7507492,0.7507492,4.7507492,1
[0.8059985],1,1,1,1,0.8059985,0.8059985,4.8059985,1
[0.5648984],1,1,1,1,0.5648984,0.5648984,4.5648984,1
[0.5853275],1,1,1,1,0.5853275,0.5853275,4.5853275,1
[0.59850997],1,1,1,1,0.59850997,0.59850997,4.59850997,1
[0.7872073],1,1,1,1,0.7872073,0.7872073,4.7872073,1
[0.6312928],1,1,1,1,0.6312928,0.6312928,4.6312928,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6110078],1,1,1,1,0.6110078,0.6110078,4.6110078,1
[0.39299935],0,0,0,0,0.39299935,0.39299935,0.39299935,0
[0.73764026],0,1,1,1,0.73764026,0.73764026,3.73764026,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6978997],1,1,1,1,0.6978997,0.6978997,4.6978997,1
[0.62008536],1,1,1,1,0.62008536,0.62008536,4.62008536,1
[0.6618215],1,1,1,1,0.6618215,0.6618215,4.6618215,1
[0.5539057],0,1,1,1,0.5539057,0.5539057,3.5539057,0
[0.5629145],0,0,0,1,0.5629145,0.5629145,1.5629145,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5734372],0,1,1,1,0.5734372,0.5734372,3.5734372,0
[0.54290843],0,1,1,1,0.54290843,0.54290843,3.54290843,0
[0.47702548],0,0,0,0,0.47702548,0.47702548,0.47702548,0
[0.66928715],1,1,1,1,0.66928715,0.66928715,4.66928715,1
[0.4253844],0,0,0,1,0.4253844,0.4253844,1.4253844,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5426785],1,0,0,0,0.5426785,0.5426785,1.5426785,0
[0.7877388],1,1,1,1,0.7877388,0.7877388,4.7877388,1
[0.6861471],0,1,1,1,0.6861471,0.6861471,3.6861471,0
[0.6280603],0,0,0,0,0.6280603,0.6280603,0.6280603,0
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.6157352],0,1,1,1,0.6157352,0.6157352,3.6157352,0
[0.3055207],1,0,0,1,0.3055207,0.3055207,2.3055207,0
[0.5430974],0,1,1,1,0.5430974,0.5430974,3.5430974,0
[0.40506566],0,0,0,0,0.40506566,0.40506566,0.40506566,0
[0.5301893],1,1,1,1,0.5301893,0.5301893,4.5301893,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.4893112],0,1,1,1,0.4893112,0.4893112,3.4893112,0
[0.63182086],1,1,1,1,0.63182086,0.63182086,4.63182086,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.64379877],0,1,1,1,0.64379877,0.64379877,3.64379877,0
[0.68581426],1,1,1,1,0.68581426,0.68581426,4.68581426,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5660351],0,1,1,1,0.5660351,0.5660351,3.5660351,0
[0.5915438],1,1,1,1,0.5915438,0.5915438,4.5915438,1
[0.48813525],0,0,0,0,0.48813525,0.48813525,0.48813525,0
[0.6412387],1,1,1,1,0.6412387,0.6412387,4.6412387,1
[0.49283656],0,1,1,0,0.49283656,0.49283656,2.49283656,0
[0.4558974],1,0,0,1,0.4558974,0.4558974,2.4558974,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.73703754],1,1,1,1,0.73703754,0.73703754,4.73703754,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6158602],1,1,1,1,0.6158602,0.6158602,4.6158602,1
[0.5773199],0,1,1,1,0.5773199,0.5773199,3.5773199,0
[0.7135885],1,1,1,1,0.7135885,0.7135885,4.7135885,1
[0.5519892],0,1,1,1,0.5519892,0.5519892,3.5519892,0
[0.4519311],0,0,0,0,0.4519311,0.4519311,0.4519311,0
[0.6653356],1,1,1,1,0.6653356,0.6653356,4.6653356,1
[0.5033959],0,1,1,0,0.5033959,0.5033959,2.5033959,0
[0.55768263],0,1,1,1,0.55768263,0.55768263,3.55768263,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.534271],1,1,1,0,0.534271,0.534271,3.534271,0
[0.530442],1,1,1,1,0.530442,0.530442,4.530442,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5358571],1,0,1,0,0.5358571,0.5358571,2.5358571,0
[0.3312779],0,0,0,0,0.3312779,0.3312779,0.3312779,0
[0.4671895],0,0,0,0,0.4671895,0.4671895,0.4671895,0
[0.7124833],0,1,1,1,0.7124833,0.7124833,3.7124833,0
[0.8055478],1,1,1,1,0.8055478,0.8055478,4.8055478,1
[0.7887182],1,1,1,1,0.7887182,0.7887182,4.7887182,1
[0.43288764],0,0,0,0,0.43288764,0.43288764,0.43288764,0
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.6477133],0,1,1,1,0.6477133,0.6477133,3.6477133,0
[0.4649742],0,0,0,0,0.4649742,0.4649742,0.4649742,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.62663317],1,1,1,1,0.62663317,0.62663317,4.62663317,1
[0.5542957],1,0,1,1,0.5542957,0.5542957,3.5542957,0
[0.6047131],1,1,1,1,0.6047131,0.6047131,4.6047131,1
[0.6033008],1,1,1,1,0.6033008,0.6033008,4.6033008,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6474365],1,1,1,1,0.6474365,0.6474365,4.6474365,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.3182896],0,0,0,0,0.3182896,0.3182896,0.3182896,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5330078],1,0,0,1,0.5330078,0.5330078,2.5330078,0
[0.4819084],1,1,1,1,0.4819084,0.4819084,4.4819084,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.73044634],1,1,1,1,0.73044634,0.73044634,4.73044634,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.58483434],1,1,1,1,0.58483434,0.58483434,4.58483434,1
[0.55336046],0,1,1,1,0.55336046,0.55336046,3.55336046,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.68224466],1,1,1,1,0.68224466,0.68224466,4.68224466,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.69622254],1,1,1,1,0.69622254,0.69622254,4.69622254,1
[0.3658238],0,0,0,1,0.3658238,0.3658238,1.3658238,0
[0.50252485],1,1,1,1,0.50252485,0.50252485,4.50252485,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.42117366],0,0,0,0,0.42117366,0.42117366,0.42117366,0
[0.7322824],1,1,1,1,0.7322824,0.7322824,4.7322824,1
[0.5736979],1,1,1,1,0.5736979,0.5736979,4.5736979,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6076044],0,1,1,1,0.6076044,0.6076044,3.6076044,0
[0.5408554],0,1,1,0,0.5408554,0.5408554,2.5408554,0
[0.5840056],1,1,1,1,0.5840056,0.5840056,4.5840056,1
[0.60615295],1,1,1,1,0.60615295,0.60615295,4.60615295,1
[0.5432621],1,0,0,0,0.5432621,0.5432621,1.5432621,0
[0.42180407],0,0,0,0,0.42180407,0.42180407,0.42180407,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.65581626],1,1,1,1,0.65581626,0.65581626,4.65581626,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.3524507],0,0,0,1,0.3524507,0.3524507,1.3524507,0
[0.5331532],1,1,1,1,0.5331532,0.5331532,4.5331532,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.43157998],0,1,1,1,0.43157998,0.43157998,3.43157998,0
[0.60081106],1,1,1,1,0.60081106,0.60081106,4.60081106,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6116674],1,1,1,1,0.6116674,0.6116674,4.6116674,1
[0.7880271],1,1,1,1,0.7880271,0.7880271,4.7880271,1
[0.7598396],1,1,1,1,0.7598396,0.7598396,4.7598396,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.59032536],0,1,1,1,0.59032536,0.59032536,3.59032536,0
[0.42421332],1,0,0,1,0.42421332,0.42421332,2.42421332,0
[0.78827745],1,1,1,1,0.78827745,0.78827745,4.78827745,1
[0.5295508],1,1,1,1,0.5295508,0.5295508,4.5295508,1
[0.66604674],1,1,1,1,0.66604674,0.66604674,4.66604674,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5416573],0,1,1,1,0.5416573,0.5416573,3.5416573,0
[0.750585],1,1,1,1,0.750585,0.750585,4.750585,1
[0.46680233],1,0,0,0,0.46680233,0.46680233,1.46680233,0
[0.29432988],0,0,0,1,0.29432988,0.29432988,1.29432988,0
[0.613575],1,1,1,1,0.613575,0.613575,4.613575,1
[0.5332862],0,1,1,0,0.5332862,0.5332862,2.5332862,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5097439],0,1,1,1,0.5097439,0.5097439,3.5097439,0
[0.5613103],1,1,1,1,0.5613103,0.5613103,4.5613103,1
[0.36274534],0,0,0,0,0.36274534,0.36274534,0.36274534,0
[0.47997177],0,0,1,0,0.47997177,0.47997177,1.47997177,0
[0.44242525],1,1,1,1,0.44242525,0.44242525,4.44242525,1
[0.5166839],1,1,1,1,0.5166839,0.5166839,4.5166839,1
[0.6142142],1,1,1,1,0.6142142,0.6142142,4.6142142,1
[0.4939017],1,1,1,1,0.4939017,0.4939017,4.4939017,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.68100405],0,1,1,1,0.68100405,0.68100405,3.68100405,0
[0.74535215],1,1,1,1,0.74535215,0.74535215,4.74535215,1
[0.6428569],1,1,1,1,0.6428569,0.6428569,4.6428569,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6190257],0,1,1,1,0.6190257,0.6190257,3.6190257,0
[0.4148086],1,0,0,1,0.4148086,0.4148086,2.4148086,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.48914522],1,0,0,1,0.48914522,0.48914522,2.48914522,0
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.61751974],1,1,1,1,0.61751974,0.61751974,4.61751974,1
[0.35893673],1,0,0,0,0.35893673,0.35893673,1.35893673,0
[0.34204498],0,0,0,0,0.34204498,0.34204498,0.34204498,0
[0.6664282],0,1,1,1,0.6664282,0.6664282,3.6664282,0
[0.5444685],1,0,0,1,0.5444685,0.5444685,2.5444685,0
[0.37263763],0,0,0,1,0.37263763,0.37263763,1.37263763,0
[0.7859285],0,1,1,1,0.7859285,0.7859285,3.7859285,0
[0.37438062],1,0,0,1,0.37438062,0.37438062,2.37438062,0
[0.3842348],0,0,0,1,0.3842348,0.3842348,1.3842348,0
[0.52458894],0,1,1,1,0.52458894,0.52458894,3.52458894,0
[0.6060616],1,1,1,1,0.6060616,0.6060616,4.6060616,1
[0.5107208],1,1,1,1,0.5107208,0.5107208,4.5107208,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6494057],0,0,0,0,0.6494057,0.6494057,0.6494057,0
[0.5239963],1,1,1,1,0.5239963,0.5239963,4.5239963,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5743751],0,1,1,1,0.5743751,0.5743751,3.5743751,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.611135],1,1,1,1,0.611135,0.611135,4.611135,1
[0.55413747],1,1,1,0,0.55413747,0.55413747,3.55413747,0
[0.7887286],1,1,1,1,0.7887286,0.7887286,4.7887286,1
[0.58207995],1,1,1,1,0.58207995,0.58207995,4.58207995,1
[0.61195904],0,1,1,1,0.61195904,0.61195904,3.61195904,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.37058976],0,0,0,0,0.37058976,0.37058976,0.37058976,0
[0.67492193],1,1,1,1,0.67492193,0.67492193,4.67492193,1
[0.7319521],1,1,1,1,0.7319521,0.7319521,4.7319521,1
[0.5990807],1,1,1,1,0.5990807,0.5990807,4.5990807,1
[0.38283053],1,0,0,0,0.38283053,0.38283053,1.38283053,0
[0.3017367],0,0,0,0,0.3017367,0.3017367,0.3017367,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5602954],0,1,1,1,0.5602954,0.5602954,3.5602954,0
[0.8347855],1,1,1,1,0.8347855,0.8347855,4.8347855,1
[0.59195054],1,1,1,1,0.59195054,0.59195054,4.59195054,1
[0.5854907],1,1,1,1,0.5854907,0.5854907,4.5854907,1
[0.78857553],1,1,1,1,0.78857553,0.78857553,4.78857553,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.58493865],0,1,1,0,0.58493865,0.58493865,2.58493865,0
[0.52520186],0,1,1,1,0.52520186,0.52520186,3.52520186,0
[0.5014113],1,1,1,0,0.5014113,0.5014113,3.5014113,0
[0.6273223],1,1,1,1,0.6273223,0.6273223,4.6273223,1
[0.58427346],1,0,1,0,0.58427346,0.58427346,2.58427346,0
[0.77256036],1,1,1,1,0.77256036,0.77256036,4.77256036,1
[0.343983],0,0,0,1,0.343983,0.343983,1.343983,0
[0.56340694],0,1,1,1,0.56340694,0.56340694,3.56340694,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6174823],1,1,1,1,0.6174823,0.6174823,4.6174823,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.59805053],1,1,1,1,0.59805053,0.59805053,4.59805053,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6407469],1,1,1,1,0.6407469,0.6407469,4.6407469,1
[0.50224173],0,1,1,1,0.50224173,0.50224173,3.50224173,0
[0.6547587],0,1,1,1,0.6547587,0.6547587,3.6547587,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8220689],1,1,1,1,0.8220689,0.8220689,4.8220689,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
